calls_up,calls_down,starts_up,starts_down,availability,alarms,ave_callTime
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,2,0,0
18,29,59,59,89,0,5.389382979
19,27,66,66,100,0,4.848021739
27,29,71,71,100,0,5.334196429
16,36,64,64,100,0,5.844807692
14,33,62,62,100,0,7.791021277
11,31,58,58,100,0,5.858666667
14,33,56,56,100,0,5.629191489
12,37,57,57,100,0,6.475387755
7,26,46,46,100,0,6.052121212
3,37,52,52,100,0,7.1176
0,23,35,35,100,0,6.432347826
3,23,35,35,100,0,4.938423077
4,16,27,27,100,0,2.90805
2,15,19,19,100,0,4.152470588
6,16,26,26,99.33333333,1,3.991772727
2,10,23,23,84.16666667,1,4.407
2,5,12,12,86.66666667,2,5.323571429
0,7,15,15,84.66666667,3,5.839571429
2,4,9,9,91.5,1,5.474166667
1,0,1,1,100,0,3.806
2,2,7,7,100,0,4.56025
1,1,4,4,100,0,4.405
1,3,6,6,100,0,3.605
0,1,2,2,100,0,0.402
0,0,0,0,100,0,0
0,1,2,2,100,0,4.607
2,0,4,4,100,0,5.006
0,2,3,3,100,0,3.7055
4,3,9,9,100,0,2.547285714
0,2,2,2,100,0,2.004
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,0,0,100,0,0.402
0,1,2,2,100,0,3.605
0,3,3,3,100,0,3.671666667
1,0,2,2,100,0,3.604
1,0,1,1,100,0,0.602
2,0,4,4,100,0,3.7055
1,4,6,6,100,0,3.5656
2,2,4,4,100,0,3.5055
1,2,4,4,100,0,4.139666667
2,2,6,6,100,0,4.75625
0,3,4,4,100,0,6.008
0,0,0,0,100,0,0
0,1,1,1,100,0,3.806
1,2,4,4,100,0,4.072333333
0,0,0,0,100,0,0
4,2,6,6,100,0,2.971333333
0,1,2,2,100,0,0.602
0,1,1,1,100,0,3.807
0,1,1,1,100,0,3.806
0,0,0,0,100,0,0
0,0,0,0,100,0,0
3,3,10,10,100,0,4.707166667
7,2,16,16,100,0,5.595222222
12,3,16,16,100,0,5.4782
10,9,35,35,92.16666667,6,11.93615789
3,4,10,10,100,0,2.517857143
10,5,16,16,100,0,3.258666667
10,9,28,28,100,0,4.693842105
8,5,20,20,100,0,5.199692308
10,4,24,24,100,0,3.893785714
16,14,35,35,100,0,5.774766667
8,7,19,19,100,0,3.942666667
24,8,43,43,100,0,5.81428125
35,13,62,62,100,0,7.157020833
43,21,87,87,100,0,7.5394375
43,17,108,108,100,0,6.6558
46,26,101,101,100,0,7.817430556
32,17,68,68,100,0,6.601632653
33,26,64,64,100,0,5.721305085
39,26,76,76,100,0,6.085707692
30,17,63,63,100,0,6.311234043
24,16,48,48,100,0,4.328025
26,24,58,58,100,0,5.46162
32,21,65,65,100,0,5.520283019
28,33,72,72,100,0,5.449327869
28,27,64,64,100,0,5.155636364
23,31,57,57,100,0,6.152537037
24,45,68,68,100,0,7.746057971
25,41,78,78,100,0,7.52069697
24,34,64,64,100,0,7.398793103
28,32,69,69,100,0,6.957016667
28,54,92,92,100,0,7.936268293
33,37,79,79,100,0,6.537357143
30,30,71,71,100,0,6.38445
36,45,88,88,100,0,8.372407407
40,18,80,80,100,0,7.446
30,23,63,63,100,0,6.624754717
35,41,100,100,100,0,7.627434211
30,23,66,66,100,0,4.636867925
29,29,80,80,99.83333333,3,6.130896552
16,14,37,37,100,0,3.612833333
22,33,58,58,100,0,5.424927273
28,37,75,75,100,0,8.107169231
20,22,49,49,100,0,6.422619048
25,29,64,64,100,0,5.118981481
29,22,77,77,100,0,5.863745098
16,27,54,54,100,0,6.292418605
15,38,57,57,100,0,7.065735849
16,29,57,57,100,0,7.346955556
21,38,68,68,100,0,6.644711864
14,29,63,63,100,0,5.787046512
9,41,70,70,100,0,7.99276
7,33,48,48,100,0,6.729025
5,30,46,46,100,0,6.868628571
4,32,45,45,100,0,5.693416667
0,18,21,21,100,0,6.140833333
6,18,26,26,100,0,4.938708333
4,14,29,29,100,0,4.243777778
0,8,13,13,100,0,4.557375
2,6,10,10,100,0,2.780375
0,6,7,7,100,0,3.037833333
0,4,5,5,100,0,3.0545
2,7,15,15,100,0,3.495111111
0,1,2,2,100,0,4.006
1,3,5,5,100,0,3.20475
2,0,2,2,100,0,2.504
1,3,4,4,100,0,1.303
3,1,3,3,100,0,1.3025
0,3,3,3,100,0,2.737666667
0,0,1,1,100,0,0
1,0,2,2,100,0,5.008
2,5,7,7,100,0,1.919714286
0,1,0,0,100,0,0.602
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,0,1,1,100,0,0.5015
0,0,0,0,100,0,0
1,1,2,2,100,0,2.604
0,2,3,3,100,0,3.7065
0,0,0,0,100,0,0
1,2,3,3,100,0,3.472
1,1,3,3,100,0,2.3045
1,0,1,1,100,0,4.407
0,0,0,0,100,0,0
0,2,1,1,100,0,2.104
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,1,100,0,0.602
3,2,4,4,100,0,2.8076
2,2,7,7,100,0,4.25575
9,5,21,21,100,0,10.5735
7,6,17,17,100,0,4.084461538
11,5,20,20,100,0,3.599625
8,7,20,20,100,0,3.8878
7,9,30,30,99.16666667,1,3.2319375
6,6,7,7,100,0,1.953666667
17,6,30,30,100,0,3.642478261
11,8,21,21,100,0,3.355052632
18,11,33,33,100,0,4.308482759
19,13,36,36,100,0,6.5785
18,4,25,25,100,0,5.970590909
30,18,63,63,100,0,6.3165
38,26,82,82,100,0,7.87940625
42,23,120,120,100,1,11.36292308
47,21,87,87,100,0,5.633485294
32,18,80,80,100,0,6.98152
27,29,67,67,100,0,6.836321429
32,16,57,57,100,0,5.167479167
29,31,65,65,100,0,5.3528
31,19,61,61,100,0,5.61376
26,26,69,69,100,0,6.312615385
