calls_up,calls_down,starts_up,starts_down,availability,alarms,ave_callTime
1,0,1,2,100,0,8.911
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,4,3,100,0,7.903
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,2,3,4,100,0,5.51075
1,0,3,1,100,0,9.412
0,1,1,1,100,0,2.894
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,1,99.83333333,0,3.271
0,2,1,3,99.83333333,0,4.0895
0,0,0,0,100,0,0
1,1,2,1,100,0,1.8935
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,2,1,100,0,7.903
0,0,0,0,99.83333333,0,0
3,0,4,2,100,0,6.388
2,0,3,3,100,0,5.932
3,2,6,7,100,0,5.323
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,1,2,100,0,5.499
2,0,2,2,100,0,4.649
2,1,3,3,99.83333333,0,3.235666667
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,2,3,5,100,0,8.344
0,0,0,0,100,0,0
1,0,1,2,100,0,7.852
0,0,0,0,100,0,0
1,0,1,2,100,0,7.971
2,2,5,7,100,0,7.7515
0,0,0,0,100,0,0
1,1,3,3,100,0,7.21
1,0,0,1,100,0,8.208
0,0,1,1,100,0,0
2,0,2,3,100,0,5.5075
1,2,4,3,100,0,7.993666667
0,1,3,3,100,0,6.561
0,1,2,1,100,0,11.32
1,2,4,3,100,0,9.096666667
0,1,2,2,100,0,6.641
1,0,1,2,100,0,8.301
1,0,1,2,100,0,9.362
4,0,4,4,100,0,6.1485
0,0,0,0,100,0,0
1,0,1,2,100,0,8.864
0,3,3,5,100,0,4.727666667
0,5,5,9,100,0,8.293
3,2,6,7,100,0,6.1128
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,1,3,4,100,0,14.105
0,2,3,2,100,0,1.881
0,1,1,2,100,0,8.522
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
4,0,72,10,100,6,6.8935
0,1,2,1,100,0,6.614
0,0,0,0,100,0,0
0,1,2,1,100,0,6.511
1,1,3,3,100,0,6.554
0,1,1,1,100,0,1.847
0,1,1,1,100,0,2.724
0,0,0,0,100,0,0
2,2,6,6,100,0,7.3885
1,0,0,1,100,0,8.046
1,0,3,2,100,0,8.994
0,2,2,4,100,0,6.4145
2,2,3,7,100,0,7.06375
0,0,1,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,1,99.83333333,0,8.51
2,0,4,3,100,0,7.3845
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,2,100,0,6.112
1,0,1,1,100,0,9.945
0,0,0,1,100,0,0
0,0,0,0,99.83333333,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,3,3,100,0,6.749
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,1,100,0,2.245
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,2,1,99.83333333,0,8.701
0,1,1,2,100,0,7.116
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,0,4,2,100,0,8.9525
0,1,1,2,100,0,6.68
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,3,3,100,0,5.172
0,0,0,0,100,0,0
0,1,1,2,100,0,6.85
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,99.83333333,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,1,100,0,1.632
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,2,100,0,8.416
0,0,0,0,100,0,0
0,1,1,1,100,0,2.533
1,0,1,2,100,0,8.901
1,0,1,2,100,0,10.306
0,1,2,1,100,0,6.652
0,0,0,0,100,0,0
1,1,2,4,100,0,7.8885
1,0,1,2,100,0,9.292
0,0,0,0,99.83333333,0,0
2,0,2,4,99.83333333,0,9.391
0,0,0,0,100,0,0
0,1,1,1,100,0,2.093
1,0,1,2,100,0,8.122
0,2,4,2,100,0,6.7165
0,0,0,0,100,0,0
1,0,1,2,100,0,8.233
0,3,3,3,100,0,6.093333333
1,0,2,3,100,0,8.975
1,0,0,1,100,0,9.942
1,1,4,4,99.83333333,0,8.891
2,2,4,6,100,0,9.11175
2,5,8,13,100,0,7.549571429
0,0,0,0,100,0,0
1,1,2,3,100,0,5.4215
0,0,0,0,100,0,0
1,1,2,2,100,0,6.1425
2,2,6,6,100,0,8.6235
4,0,5,4,100,0,6.50225
2,0,4,2,100,0,8.7535
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,3,3,100,0,7.543
0,0,0,0,100,0,0
1,1,4,2,100,0,7.247
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,4,2,99.83333333,0,10.01
0,0,0,0,100,0,0
1,0,1,2,100,0,9.567
2,2,5,6,100,0,6.98275
1,1,3,2,100,0,4.321
0,2,3,2,100,0,7.905
0,0,0,0,99.83333333,0,0
0,1,1,1,100,0,2.092
1,1,3,3,100,0,7.4495
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,2,100,0,9.051
2,2,6,6,100,0,7.014
0,1,2,1,100,0,7.89
0,1,1,1,100,0,5.895
0,0,0,0,100,0,0
1,0,1,2,100,0,6.191
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,1,99.83333333,0,2.473
1,0,1,1,100,0,3.327
1,0,2,1,100,0,8.229
2,0,2,2,100,0,8.52
0,0,1,0,100,0,0
0,0,0,0,100,0,0
0,1,2,1,100,0,6.204
2,1,4,5,100,0,8.407333333
0,0,0,0,100,0,0
0,1,1,1,100,0,2.93
0,0,0,0,100,0,0
1,0,1,1,100,0,1.427
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,1,6,5,100,0,7.47
0,0,0,0,100,0,0
0,0,0,0,99.83333333,0,0
1,0,1,2,100,0,6.856
0,1,2,1,100,0,5.035
1,0,1,2,99.83333333,0,8.623
2,1,4,3,100,0,6.553333333
6,0,6,10,100,0,8.187333333
9,4,17,19,100,0,7.222461538
6,0,8,10,100,0,7.368166667
12,5,20,17,100,0,7.146823529
8,8,26,27,100,1,3.8299375
11,4,21,14,100,0,6.602333333
11,3,16,16,100,0,5.454
9,7,17,21,100,0,5.58375
7,9,17,19,100,0,5.91075
8,7,21,24,100,0,7.120733333
29,8,40,42,100,0,7.810540541
22,15,51,55,100,0,7.843621622
37,15,68,63,100,0,8.478769231
40,28,103,72,100,0,12.03498529
33,19,74,65,100,0,7.950826923
35,34,80,69,100,0,7.734376812
27,22,56,59,100,0,8.580244898
35,26,66,73,100,0,8.60504918
29,28,66,68,100,0,7.534596491
38,36,74,78,100,0,7.978175676
32,27,64,71,100,0,7.436288136
28,23,53,51,100,0,6.364784314
25,13,41,43,100,0,7.5575
26,20,44,45,100,0,5.980586957
20,33,54,60,100,0,9.60454717
18,38,63,58,100,0,7.650053571
19,27,54,55,100,0,8.129369565
25,35,64,63,100,0,7.67485
26,44,80,74,100,0,11.16508571
24,36,63,70,100,0,8.144466667
20,32,66,60,100,0,8.807096154
26,22,60,57,100,0,8.8335
37,25,78,63,100,0,7.889483871
44,35,85,82,100,0,7.755734177
23,27,50,63,100,0,11.9619
21,30,55,68,100,0,10.03762745
32,23,62,59,100,0,7.417963636
24,24,54,55,100,0,6.764854167
20,24,49,53,100,0,6.297181818
21,27,61,50,100,0,6.7865625
27,27,70,60,99.66666667,1,9.644944444
16,26,49,52,100,0,7.936214286
12,24,35,45,100,0,6.840222222
15,17,41,34,100,0,5.80753125
17,24,47,47,100,0,7.66102439
7,24,42,37,100,0,7.718322581
11,31,44,50,100,0,6.958166667
9,32,47,57,100,0,9.454658537
15,36,57,53,100,0,7.258882353
14,35,62,46,100,0,10.60861224
13,35,64,52,100,0,9.546770833
4,32,48,43,100,0,9.302361111
3,22,33,29,100,0,9.35936
0,17,21,23,100,0,7.127294118
2,14,25,22,100,0,7.1855625
5,16,29,24,100,0,7.494619048
5,9,21,17,100,0,7.344428571
3,10,17,14,100,0,10.84423077
4,8,9,11,100,0,5.55075
1,4,6,7,100,0,4.2932
2,4,6,6,100,0,5.832333333
0,5,7,7,100,0,5.6206
4,3,7,8,100,0,4.550714286
0,4,5,5,100,0,4.47075
1,2,4,5,100,0,7.011333333
1,2,4,4,100,0,5.47
1,1,3,3,100,0,8.622
0,1,2,1,100,0,6.246
0,0,0,0,100,0,0
1,0,2,1,100,0,8.529
1,2,3,4,99.83333333,0,4.659
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,1,0,100,0,0
1,0,3,2,100,0,8.533
2,0,4,3,100,0,6.726
1,1,2,3,100,0,4.674
0,0,0,0,99.83333333,0,0
0,0,0,0,100,0,0
0,1,1,1,100,0,6.68
0,0,0,0,100,0,0
0,1,2,1,100,0,9.055
2,0,1,2,100,0,4.3565
0,1,2,1,100,0,9.163
1,1,3,3,100,0,7.3035
1,0,1,2,99.83333333,0,8.972
0,0,0,0,100,0,0
2,2,6,5,100,0,8.425
0,1,1,1,100,0,2.362
2,1,4,6,100,0,10.33033333
0,1,1,2,100,0,5.139
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,3,3,100,0,7.941
6,1,12,9,100,0,8.866714286
5,2,8,10,100,0,7.545714286
14,0,16,17,100,0,6.618714286
3,2,5,8,100,0,6.654
12,5,21,24,100,0,5.229411765
6,5,20,15,100,0,5.571636364
6,2,11,9,100,0,6.687875
9,4,11,13,99.83333333,0,5.009846154
6,9,12,15,100,0,5.102133333
10,4,16,17,100,0,9.7485
15,6,23,23,100,0,4.079047619
14,3,17,23,100,0,7.217176471
21,5,31,44,100,0,9.348115385
31,20,73,60,100,0,10.18807843
34,16,87,62,100,0,11.5237
29,13,63,55,100,0,9.066571429
24,14,50,53,100,0,9.919710526
31,27,70,71,100,0,8.655034483
35,27,64,70,100,0,7.493967742
32,20,62,63,100,0,7.652423077
37,22,65,57,100,0,5.959440678
20,22,55,51,100,0,7.539333333
30,29,67,66,100,0,8.25020339
20,18,38,44,100,0,6.839210526
