calls_up,calls_down,starts_up,starts_down,availability,alarms,ave_callTime
1,0,1,2,100,0,8.911
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,4,3,100,0,7.903
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,2,3,4,100,0,5.51075
1,0,3,1,100,0,9.412
0,1,1,1,100,0,2.894
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,1,99.83333333,0,3.271
0,2,1,3,99.83333333,0,4.0895
0,0,0,0,100,0,0
1,1,2,1,100,0,1.8935
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,2,1,100,0,7.903
0,0,0,0,99.83333333,0,0
3,0,4,2,100,0,6.388
2,0,3,3,100,0,5.932
3,2,6,7,100,0,5.323
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,1,2,100,0,5.499
2,0,2,2,100,0,4.649
2,1,3,3,99.83333333,0,3.235666667
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,2,3,5,100,0,8.344
0,0,0,0,100,0,0
1,0,1,2,100,0,7.852
0,0,0,0,100,0,0
1,0,1,2,100,0,7.971
2,2,5,7,100,0,7.7515
0,0,0,0,100,0,0
1,1,3,3,100,0,7.21
1,0,0,1,100,0,8.208
0,0,1,1,100,0,0
2,0,2,3,100,0,5.5075
1,2,4,3,100,0,7.993666667
0,1,3,3,100,0,6.561
0,1,2,1,100,0,11.32
1,2,4,3,100,0,9.096666667
0,1,2,2,100,0,6.641
1,0,1,2,100,0,8.301
1,0,1,2,100,0,9.362
4,0,4,4,100,0,6.1485
0,0,0,0,100,0,0
1,0,1,2,100,0,8.864
0,3,3,5,100,0,4.727666667
0,5,5,9,100,0,8.293
3,2,6,7,100,0,6.1128
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,1,3,4,100,0,14.105
0,2,3,2,100,0,1.881
0,1,1,2,100,0,8.522
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
4,0,72,10,100,6,6.8935
0,1,2,1,100,0,6.614
0,0,0,0,100,0,0
0,1,2,1,100,0,6.511
1,1,3,3,100,0,6.554
0,1,1,1,100,0,1.847
0,1,1,1,100,0,2.724
0,0,0,0,100,0,0
2,2,6,6,100,0,7.3885
1,0,0,1,100,0,8.046
1,0,3,2,100,0,8.994
0,2,2,4,100,0,6.4145
2,2,3,7,100,0,7.06375
0,0,1,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,1,99.83333333,0,8.51
2,0,4,3,100,0,7.3845
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,2,100,0,6.112
1,0,1,1,100,0,9.945
0,0,0,1,100,0,0
0,0,0,0,99.83333333,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,3,3,100,0,6.749
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,1,100,0,2.245
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,2,1,99.83333333,0,8.701
0,1,1,2,100,0,7.116
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,0,4,2,100,0,8.9525
0,1,1,2,100,0,6.68
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,3,3,100,0,5.172
0,0,0,0,100,0,0
0,1,1,2,100,0,6.85
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,99.83333333,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,1,100,0,1.632
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,2,100,0,8.416
0,0,0,0,100,0,0
0,1,1,1,100,0,2.533
1,0,1,2,100,0,8.901
1,0,1,2,100,0,10.306
0,1,2,1,100,0,6.652
0,0,0,0,100,0,0
1,1,2,4,100,0,7.8885
1,0,1,2,100,0,9.292
0,0,0,0,99.83333333,0,0
2,0,2,4,99.83333333,0,9.391
0,0,0,0,100,0,0
0,1,1,1,100,0,2.093
1,0,1,2,100,0,8.122
0,2,4,2,100,0,6.7165
0,0,0,0,100,0,0
1,0,1,2,100,0,8.233
0,3,3,3,100,0,6.093333333
1,0,2,3,100,0,8.975
1,0,0,1,100,0,9.942
1,1,4,4,99.83333333,0,8.891
2,2,4,6,100,0,9.11175
2,5,8,13,100,0,7.549571429
0,0,0,0,100,0,0
1,1,2,3,100,0,5.4215
0,0,0,0,100,0,0
1,1,2,2,100,0,6.1425
2,2,6,6,100,0,8.6235
4,0,5,4,100,0,6.50225
2,0,4,2,100,0,8.7535
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,3,3,100,0,7.543
0,0,0,0,100,0,0
1,1,4,2,100,0,7.247
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,1,4,2,99.83333333,0,10.01
0,0,0,0,100,0,0
1,0,1,2,100,0,9.567
2,2,5,6,100,0,6.98275
1,1,3,2,100,0,4.321
0,2,3,2,100,0,7.905
0,0,0,0,99.83333333,0,0
0,1,1,1,100,0,2.092
1,1,3,3,100,0,7.4495
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
1,0,1,2,100,0,9.051
2,2,6,6,100,0,7.014
0,1,2,1,100,0,7.89
0,1,1,1,100,0,5.895
0,0,0,0,100,0,0
1,0,1,2,100,0,6.191
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,1,1,1,99.83333333,0,2.473
1,0,1,1,100,0,3.327
1,0,2,1,100,0,8.229
2,0,2,2,100,0,8.52
0,0,1,0,100,0,0
0,0,0,0,100,0,0
0,1,2,1,100,0,6.204
2,1,4,5,100,0,8.407333333
0,0,0,0,100,0,0
0,1,1,1,100,0,2.93
0,0,0,0,100,0,0
1,0,1,1,100,0,1.427
0,0,0,0,100,0,0
0,0,0,0,100,0,0
0,0,0,0,100,0,0
2,1,6,5,100,0,7.47
0,0,0,0,100,0,0
0,0,0,0,99.83333333,0,0
1,0,1,2,100,0,6.856
0,1,2,1,100,0,5.035
1,0,1,2,99.83333333,0,8.623
2,1,4,3,100,0,6.553333333
6,0,6,10,100,0,8.187333333
9,4,17,19,100,0,7.222461538
6,0,8,10,100,0,7.368166667
12,5,20,17,100,0,7.146823529
8,8,26,27,100,1,3.8299375
11,4,21,14,100,0,6.602333333
11,3,16,16,100,0,5.454
9,7,17,21,100,0,5.58375
7,9,17,19,100,0,5.91075
8,7,21,24,100,0,7.120733333
29,8,40,42,100,0,7.810540541
22,15,51,55,100,0,7.843621622
37,15,68,63,100,0,8.478769231
40,28,103,72,100,0,12.03498529
33,19,74,65,100,0,7.950826923
35,34,80,69,100,0,7.734376812
27,22,56,59,100,0,8.580244898
35,26,66,73,100,0,8.60504918
29,28,66,68,100,0,7.534596491
38,36,74,78,100,0,7.978175676
